Customer ID,Age,Gender,Marital Status,Annual Income,Total Purchases,Preferred Category
1092,64,Male,Single,78000,37,Electronics
1093,54,Female,Divorced,22000,64,Appliances
1094,71,Female,Married,72000,32,Appliances
1095,22,Female,Divorced,95000,18,Electronics
1096,34,Male,Married,73000,68,Appliances
1097,21,Female,Married,43000,10,Appliances
1098,30,Male,Divorced,34000,15,Electronics
1099,21,Female,Divorced,44000,6,Appliances
1100,22,Male,Divorced,25000,35,Appliances
1101,69,Female,Single,92000,61,Electronics
1102,57,Female,Single,59000,63,Electronics
1103,68,Male,Single,90000,9,Appliances
1104,63,Male,Divorced,32000,16,Appliances
1105,30,Female,Divorced,86000,46,Electronics
1106,39,Female,Married,69000,15,Appliances
1107,28,Male,Divorced,75000,11,Appliances
1108,54,Male,Married,32000,54,Appliances
1109,43,Female,Divorced,93000,33,Electronics
1110,28,Female,Married,67000,6,Appliances
1111,63,Male,Married,56000,64,Electronics
1112,24,Male,Single,67000,46,Appliances
1113,23,Male,Married,46000,69,Appliances
1114,49,Female,Single,24000,5,Electronics
1115,59,Male,Married,44000,16,Appliances
1116,31,Male,Single,82000,26,Electronics
1117,29,Female,Single,84000,52,Appliances
1118,65,Male,Single,75000,34,Electronics
1119,33,Male,Single,81000,32,Electronics
1120,28,Male,Married,29000,51,Electronics
1121,56,Male,Single,52000,30,Electronics
1122,39,Female,Single,34000,43,Electronics
1123,68,Female,Single,54000,10,Appliances
1124,56,Female,Divorced,95000,56,Electronics
1125,41,Female,Divorced,23000,62,Electronics
1126,72,Female,Married,74000,25,Electronics
1127,47,Male,Single,34000,66,Electronics
1128,59,Female,Divorced,50000,22,Appliances
1129,19,Male,Divorced,83000,13,Electronics
1130,62,Female,Married,67000,35,Electronics
1131,53,Female,Divorced,89000,26,Appliances
1132,75,Male,Single,94000,70,Appliances
1133,61,Male,Divorced,25000,3,Electronics
1134,35,Female,Divorced,83000,4,Electronics
1135,45,Female,Single,48000,66,Electronics
1136,74,Male,Married,23000,2,Electronics
1137,67,Female,Divorced,29000,10,Appliances
1138,73,Female,Single,46000,4,Electronics
1139,67,Female,Single,51000,5,Appliances
1140,62,Male,Married,78000,5,Electronics
1141,40,Female,Married,34000,12,Electronics
1142,33,Female,Married,33000,29,Appliances
1143,75,Female,Married,69000,14,Electronics
1144,69,Female,Married,70000,42,Appliances
1145,69,Male,Divorced,34000,56,Appliances
1146,32,Female,Single,69000,67,Appliances
1147,59,Male,Single,45000,55,Electronics
1148,36,Male,Divorced,79000,33,Electronics
1149,47,Male,Single,32000,13,Appliances
1150,19,Female,Divorced,55000,50,Appliances
1151,38,Female,Single,44000,70,Appliances
1152,43,Male,Single,82000,31,Appliances
1153,44,Male,Divorced,33000,11,Appliances
1154,68,Male,Married,85000,27,Electronics
1155,72,Female,Married,81000,60,Electronics
1156,48,Male,Married,33000,61,Electronics
1157,24,Female,Single,26000,66,Appliances
1158,75,Male,Divorced,66000,45,Appliances
1159,57,Male,Divorced,43000,39,Appliances
1160,19,Male,Single,24000,31,Appliances
1161,56,Male,Divorced,52000,46,Appliances
1162,60,Male,Married,79000,67,Electronics
1163,22,Female,Single,75000,22,Electronics
1164,61,Male,Single,51000,4,Appliances
1165,33,Female,Divorced,59000,47,Appliances
1166,19,Male,Single,17000,26,Appliances
1167,47,Male,Divorced,15000,27,Electronics
1168,73,Male,Married,77000,42,Appliances
1169,20,Female,Married,43000,31,Appliances
1170,52,Male,Divorced,82000,51,Electronics
1171,44,Female,Single,60000,63,Appliances
1172,43,Female,Divorced,49000,57,Electronics
1173,29,Male,Single,32000,69,Appliances
1174,19,Male,Single,38000,7,Electronics
1175,66,Female,Single,19000,17,Appliances
1176,68,Female,Divorced,86000,27,Appliances
1177,26,Male,Divorced,75000,38,Electronics
1178,64,Female,Married,47000,60,Electronics
1179,26,Male,Divorced,79000,49,Electronics
1180,20,Female,Married,65000,13,Appliances
1181,21,Female,Married,28000,8,Electronics
1182,28,Male,Single,87000,26,Appliances
1183,64,Male,Married,60000,24,Appliances
1184,64,Female,Divorced,22000,11,Electronics
1185,25,Male,Single,80000,43,Electronics
1186,66,Male,Married,55000,31,Electronics
1187,45,Female,Single,56000,55,Appliances
1188,64,Male,Divorced,55000,51,Electronics
1189,46,Male,Single,53000,35,Appliances
1190,50,Male,Divorced,79000,37,Appliances
1191,40,Female,Single,68000,22,Appliances
1192,65,Male,Married,78000,39,Electronics
1193,48,Female,Single,76000,31,Appliances
1194,58,Female,Divorced,89000,16,Appliances
1195,67,Female,Divorced,51000,44,Electronics
1196,31,Female,Divorced,86000,61,Appliances
1197,38,Male,Single,80000,38,Electronics
1198,50,Female,Divorced,60000,34,Appliances
1199,29,Female,Married,64000,44,Electronics
1200,25,Female,Single,18000,14,Appliances
1201,32,Male,Divorced,46000,65,Appliances
1202,69,Male,Single,18000,13,Electronics
1203,31,Female,Single,88000,29,Electronics
1204,19,Female,Married,41000,20,Appliances
1205,60,Male,Single,42000,22,Appliances
1206,68,Male,Single,65000,50,Electronics
1207,25,Male,Single,36000,5,Electronics
1208,68,Male,Divorced,75000,45,Electronics
1209,38,Male,Married,24000,32,Appliances
1210,73,Male,Single,20000,32,Electronics
1211,72,Female,Divorced,92000,23,Electronics
1212,72,Female,Married,59000,25,Electronics
1213,70,Female,Divorced,55000,52,Appliances
1214,55,Female,Married,48000,29,Electronics
1215,30,Female,Single,82000,69,Electronics
1216,64,Female,Single,29000,40,Electronics
1217,48,Female,Married,65000,24,Electronics
1218,69,Male,Single,61000,18,Appliances
1219,26,Male,Single,30000,50,Appliances
1220,53,Female,Single,89000,5,Electronics
1221,37,Female,Divorced,29000,70,Appliances
1222,27,Male,Single,47000,27,Electronics
1223,75,Female,Married,33000,11,Appliances
1224,24,Male,Single,95000,68,Appliances
1225,50,Female,Single,22000,27,Electronics
1226,29,Male,Divorced,71000,51,Appliances
1227,68,Male,Divorced,73000,10,Appliances
1228,35,Male,Single,73000,13,Appliances
1229,36,Female,Married,83000,24,Appliances
1230,19,Male,Divorced,33000,51,Appliances
1231,67,Female,Married,27000,61,Appliances
1232,64,Female,Single,38000,65,Electronics
1233,49,Male,Married,73000,23,Electronics
1234,46,Male,Divorced,48000,43,Electronics
1235,26,Male,Married,58000,67,Appliances
1236,59,Male,Single,47000,36,Appliances
1237,57,Female,Divorced,43000,46,Appliances
1238,62,Female,Divorced,56000,32,Appliances
1239,37,Male,Divorced,76000,22,Electronics
1240,61,Male,Married,55000,44,Electronics
1241,68,Female,Single,74000,15,Appliances
1242,47,Male,Married,30000,7,Electronics
1243,36,Female,Married,82000,64,Electronics
1244,50,Male,Single,89000,52,Appliances
1245,71,Male,Divorced,68000,53,Electronics
1246,24,Female,Married,23000,37,Appliances
1247,35,Male,Divorced,82000,39,Electronics
1248,24,Female,Divorced,84000,12,Appliances
1249,56,Female,Married,80000,29,Appliances
1250,66,Female,Single,33000,65,Electronics
1251,34,Female,Divorced,27000,24,Appliances
1252,25,Male,Married,91000,32,Appliances
1253,48,Male,Divorced,19000,13,Electronics
1254,40,Female,Divorced,85000,67,Appliances
1255,69,Male,Married,83000,40,Appliances
1256,29,Female,Married,24000,54,Appliances
1257,45,Male,Married,34000,20,Electronics
1258,55,Male,Married,43000,41,Appliances
1259,65,Female,Single,28000,54,Appliances
1260,22,Male,Married,45000,48,Appliances
1261,62,Male,Single,84000,40,Appliances
1262,55,Female,Married,71000,12,Electronics
1263,73,Male,Single,95000,8,Appliances
1264,35,Female,Single,90000,69,Appliances
1265,55,Female,Divorced,47000,44,Electronics
1266,40,Female,Married,22000,34,Appliances
1267,43,Male,Single,34000,23,Appliances
1268,22,Female,Divorced,20000,32,Electronics
1269,25,Male,Single,75000,51,Appliances
1270,75,Female,Married,46000,28,Appliances
1271,25,Male,Single,23000,55,Electronics
1272,40,Female,Single,16000,70,Appliances
1273,37,Female,Married,90000,69,Electronics
1274,28,Male,Single,59000,54,Electronics
1275,73,Female,Single,75000,6,Electronics
1276,45,Male,Single,39000,54,Appliances
1277,68,Male,Married,53000,49,Electronics
1278,47,Male,Divorced,88000,41,Electronics
1279,21,Male,Single,51000,44,Appliances
1280,36,Female,Married,81000,12,Appliances
1281,47,Male,Single,27000,37,Appliances
1282,19,Male,Married,34000,7,Appliances
1283,44,Male,Single,15000,47,Electronics
1284,34,Male,Single,16000,62,Electronics
1285,41,Female,Divorced,55000,34,Appliances
1286,68,Male,Married,73000,60,Electronics
1287,60,Male,Divorced,31000,65,Electronics
1288,31,Female,Married,76000,59,Appliances
1289,38,Female,Married,15000,41,Appliances
1290,41,Female,Divorced,22000,61,Appliances
1291,67,Male,Married,22000,4,Appliances
1292,40,Female,Married,82000,34,Appliances
1293,52,Female,Divorced,26000,54,Appliances
1294,23,Female,Divorced,63000,48,Electronics
1295,72,Male,Married,28000,55,Appliances
1296,65,Female,Married,93000,41,Electronics
1297,40,Female,Divorced,29000,28,Electronics
1298,20,Female,Divorced,62000,32,Appliances
1299,36,Male,Married,95000,11,Electronics
1300,24,Male,Single,90000,20,Appliances
1301,52,Female,Single,51000,65,Electronics
1302,21,Male,Divorced,40000,30,Appliances
1303,24,Male,Married,82000,8,Electronics
1304,46,Female,Divorced,67000,61,Electronics
1305,42,Male,Divorced,47000,66,Appliances
1306,21,Female,Married,59000,41,Appliances
1307,46,Male,Single,19000,63,Electronics
1308,47,Female,Married,40000,32,Electronics
1309,56,Male,Married,58000,65,Appliances
1310,44,Male,Single,38000,13,Appliances
1311,58,Female,Married,67000,22,Electronics
1312,74,Male,Single,74000,19,Appliances
1313,36,Male,Married,80000,28,Appliances
1314,61,Female,Married,82000,68,Appliances
1315,59,Male,Single,54000,66,Appliances
1316,68,Female,Single,36000,17,Appliances
1317,24,Male,Single,66000,62,Electronics
1318,74,Female,Single,33000,31,Appliances
1319,31,Female,Single,24000,57,Electronics
1320,20,Male,Divorced,24000,44,Electronics
1321,53,Female,Married,59000,8,Electronics
1322,58,Female,Married,52000,57,Appliances
1323,33,Male,Divorced,26000,3,Appliances
1324,20,Male,Married,73000,51,Appliances
1325,21,Female,Married,84000,49,Appliances
1326,36,Female,Divorced,94000,17,Appliances
1327,30,Male,Single,52000,4,Electronics
1328,45,Female,Married,77000,4,Electronics
1329,75,Male,Married,67000,26,Electronics
1330,63,Female,Married,75000,13,Electronics
1331,32,Male,Single,56000,10,Electronics
1332,49,Male,Single,72000,26,Electronics
1333,45,Female,Married,17000,43,Electronics
1334,63,Female,Divorced,73000,20,Appliances
1335,63,Male,Divorced,26000,26,Appliances
1336,36,Male,Divorced,75000,70,Electronics
1337,64,Male,Divorced,88000,58,Appliances
1338,45,Male,Single,17000,30,Appliances
1339,40,Male,Married,29000,62,Electronics
1340,72,Male,Divorced,22000,68,Appliances
1341,42,Female,Single,52000,68,Electronics
1342,24,Male,Single,74000,61,Electronics
1343,57,Male,Single,65000,38,Electronics
1344,21,Male,Married,71000,2,Electronics
1345,22,Male,Married,50000,15,Electronics
1346,40,Female,Divorced,44000,61,Electronics
1347,21,Male,Divorced,74000,36,Electronics
1348,70,Male,Married,35000,22,Electronics
1349,32,Male,Divorced,64000,40,Electronics
1350,61,Female,Divorced,54000,53,Electronics
1351,72,Female,Divorced,19000,2,Electronics
1352,19,Female,Married,15000,33,Electronics
1353,43,Female,Divorced,93000,1,Electronics
1354,49,Female,Married,84000,30,Electronics
1355,36,Female,Married,24000,37,Appliances
1356,49,Male,Single,74000,47,Appliances
1357,55,Female,Married,52000,14,Appliances
1358,56,Female,Divorced,93000,42,Electronics
1359,70,Female,Married,82000,47,Appliances
1360,47,Male,Single,37000,68,Electronics
1361,73,Male,Single,93000,58,Appliances
1362,65,Male,Divorced,17000,2,Appliances
1363,57,Male,Divorced,54000,38,Appliances
1364,50,Male,Single,41000,55,Electronics
1365,35,Female,Single,94000,23,Appliances
1366,36,Male,Married,75000,7,Appliances
1367,26,Male,Single,15000,37,Appliances
1368,39,Male,Single,51000,51,Appliances
1369,56,Female,Divorced,22000,55,Electronics
1370,61,Female,Divorced,76000,35,Electronics
1371,51,Male,Single,38000,60,Appliances
1372,36,Male,Married,50000,12,Electronics
1373,67,Female,Divorced,23000,3,Appliances
1374,45,Male,Married,78000,15,Appliances
1375,19,Female,Married,93000,2,Appliances
1376,23,Male,Single,90000,45,Electronics
1377,28,Female,Married,37000,32,Appliances
1378,19,Female,Single,63000,14,Electronics
1379,74,Male,Married,90000,17,Electronics
1380,31,Male,Divorced,37000,38,Appliances
1381,57,Female,Single,80000,32,Appliances
1382,55,Female,Married,93000,33,Appliances
1383,51,Male,Divorced,77000,28,Appliances
1384,52,Male,Divorced,17000,31,Electronics
1385,61,Female,Married,57000,11,Appliances
1386,55,Male,Married,22000,6,Electronics
1387,33,Female,Divorced,38000,41,Electronics
1388,28,Male,Married,25000,36,Appliances
1389,37,Male,Divorced,78000,21,Appliances
1390,59,Female,Single,58000,1,Electronics
1391,52,Female,Divorced,68000,34,Appliances
1392,23,Female,Married,20000,20,Appliances
1393,32,Male,Single,89000,15,Electronics
1394,60,Female,Married,29000,54,Appliances
1395,35,Male,Divorced,43000,36,Appliances
1396,71,Female,Divorced,63000,26,Appliances
1397,30,Female,Single,86000,50,Electronics
1398,73,Female,Married,80000,40,Electronics
1399,36,Female,Divorced,53000,36,Electronics
1400,37,Male,Single,69000,70,Electronics
1401,19,Male,Married,26000,69,Appliances
1402,25,Female,Single,31000,14,Appliances
1403,57,Male,Single,90000,2,Appliances
1404,70,Female,Divorced,69000,17,Appliances
1405,74,Female,Single,94000,53,Electronics
1406,30,Male,Married,23000,44,Electronics
1407,69,Male,Single,82000,66,Appliances
1408,48,Female,Married,32000,57,Appliances
1409,35,Male,Married,39000,62,Appliances
1410,56,Female,Single,22000,56,Appliances
1411,35,Male,Married,37000,29,Electronics
1412,58,Male,Single,52000,19,Electronics
1413,21,Female,Married,71000,5,Appliances
1414,38,Male,Divorced,21000,70,Appliances
1415,46,Male,Divorced,21000,48,Electronics
1416,56,Male,Single,88000,19,Electronics
1417,46,Male,Single,25000,50,Electronics
1418,37,Male,Single,68000,1,Appliances
1419,65,Female,Married,70000,14,Appliances
1420,32,Male,Single,51000,8,Appliances
1421,57,Female,Single,54000,2,Appliances
1422,24,Female,Married,84000,41,Electronics
1423,25,Female,Divorced,66000,34,Electronics
1424,55,Male,Single,54000,70,Electronics
1425,57,Female,Single,36000,19,Appliances
1426,47,Male,Married,77000,20,Electronics
1427,23,Male,Married,42000,23,Electronics
1428,66,Male,Single,23000,57,Electronics
1429,32,Male,Single,28000,62,Appliances
1430,65,Female,Divorced,18000,11,Electronics
1431,57,Female,Married,44000,40,Appliances
1432,28,Female,Single,50000,13,Appliances
1433,74,Female,Single,90000,38,Appliances
1434,37,Male,Single,61000,11,Appliances
1435,35,Male,Married,30000,40,Appliances
1436,59,Female,Single,32000,10,Electronics
1437,39,Female,Divorced,89000,5,Electronics
1438,74,Female,Divorced,19000,40,Electronics
1439,30,Female,Married,15000,56,Appliances
1440,38,Male,Single,25000,46,Electronics
1441,43,Female,Married,23000,30,Appliances
1442,63,Male,Single,69000,8,Appliances
1443,23,Female,Single,52000,53,Electronics
1444,43,Female,Single,86000,22,Appliances
1445,63,Male,Divorced,45000,52,Appliances
1446,49,Female,Single,22000,61,Appliances
1447,29,Male,Single,74000,6,Appliances
1448,60,Male,Married,30000,12,Appliances
1449,45,Female,Married,75000,51,Electronics
1450,64,Female,Married,44000,52,Electronics
1451,36,Male,Divorced,94000,26,Appliances
1452,55,Male,Married,68000,34,Electronics
1453,27,Female,Single,56000,52,Appliances
1454,29,Female,Divorced,43000,39,Appliances
1455,23,Male,Divorced,90000,2,Electronics
1456,43,Male,Single,95000,51,Electronics
1457,64,Female,Married,91000,24,Appliances
1458,63,Male,Single,56000,41,Appliances
1459,54,Male,Married,82000,11,Appliances
1460,70,Female,Married,43000,46,Electronics
1461,25,Female,Divorced,93000,58,Electronics
1462,38,Male,Divorced,41000,18,Appliances
1463,61,Female,Single,44000,54,Electronics
1464,60,Female,Married,30000,54,Electronics
1465,39,Male,Married,45000,40,Appliances
1466,30,Male,Divorced,16000,5,Appliances
1467,48,Male,Single,95000,14,Electronics
1468,21,Male,Married,37000,31,Electronics
1469,48,Female,Married,19000,29,Electronics
1470,27,Female,Divorced,64000,33,Appliances
1471,36,Female,Single,42000,53,Appliances
1472,33,Female,Married,33000,45,Electronics
1473,29,Female,Divorced,68000,5,Electronics
1474,26,Male,Married,93000,70,Electronics
1475,40,Male,Married,82000,63,Appliances
1476,35,Female,Divorced,83000,12,Electronics
1477,43,Female,Divorced,47000,33,Appliances
1478,22,Female,Married,67000,45,Appliances
1479,75,Male,Single,30000,22,Appliances
1480,45,Male,Divorced,69000,12,Electronics
1481,73,Female,Divorced,34000,24,Electronics
1482,65,Female,Married,57000,46,Electronics
1483,67,Male,Divorced,93000,48,Appliances
1484,36,Male,Single,51000,52,Electronics
1485,39,Female,Single,77000,19,Electronics
1486,33,Male,Married,26000,68,Appliances
1487,33,Female,Single,38000,56,Appliances
1488,41,Female,Single,26000,8,Electronics
1489,29,Female,Married,85000,14,Electronics
1490,59,Female,Married,33000,30,Appliances
1491,43,Female,Divorced,45000,31,Appliances
1492,30,Male,Married,90000,7,Electronics
1493,60,Female,Single,95000,28,Electronics
1494,27,Male,Single,57000,12,Appliances
1495,68,Female,Single,70000,23,Electronics
1496,34,Male,Married,64000,6,Appliances
1497,34,Female,Single,77000,9,Appliances
1498,49,Female,Married,89000,30,Electronics
1499,62,Female,Single,90000,56,Appliances
1500,43,Female,Divorced,82000,19,Electronics
1501,65,Male,Married,90000,35,Appliances
1502,25,Female,Single,51000,59,Electronics
1503,62,Male,Divorced,51000,31,Electronics
1504,20,Female,Divorced,26000,41,Appliances
1505,58,Female,Married,85000,21,Electronics
1506,62,Male,Single,81000,69,Appliances
1507,20,Female,Married,59000,8,Appliances
1508,46,Female,Divorced,39000,8,Appliances
1509,39,Male,Divorced,93000,59,Appliances
1510,29,Female,Single,64000,26,Electronics
1511,49,Male,Single,34000,67,Appliances
1512,65,Male,Divorced,81000,62,Appliances
1513,71,Female,Divorced,47000,33,Electronics
1514,62,Female,Married,53000,28,Electronics
1515,41,Female,Married,49000,54,Electronics
1516,62,Female,Divorced,24000,23,Electronics
1517,68,Male,Divorced,16000,4,Appliances
1518,54,Male,Single,58000,19,Electronics
1519,48,Male,Married,55000,3,Appliances
1520,62,Male,Single,56000,44,Appliances
1521,34,Female,Divorced,39000,56,Electronics
1522,62,Female,Divorced,44000,58,Appliances
1523,71,Male,Married,27000,8,Electronics
1524,63,Female,Single,80000,15,Appliances
1525,24,Female,Married,77000,62,Appliances
1526,52,Male,Divorced,84000,54,Appliances
1527,43,Female,Divorced,17000,53,Electronics
1528,24,Female,Married,45000,23,Electronics
1529,21,Male,Married,27000,33,Electronics
1530,40,Male,Divorced,64000,16,Appliances
1531,20,Female,Divorced,82000,28,Appliances
1532,43,Female,Single,89000,67,Appliances
1533,27,Male,Divorced,48000,26,Appliances
1534,51,Male,Single,40000,13,Electronics
1535,45,Female,Single,26000,41,Electronics
1536,47,Male,Married,54000,13,Electronics
1537,55,Female,Divorced,66000,57,Appliances
1538,42,Male,Married,90000,44,Electronics
1539,28,Female,Married,16000,1,Electronics
1540,47,Female,Married,93000,59,Appliances
1541,42,Male,Married,47000,68,Electronics
1542,65,Female,Divorced,67000,51,Appliances
1543,28,Female,Married,41000,5,Electronics
1544,59,Female,Married,68000,10,Electronics
1545,38,Male,Divorced,74000,2,Appliances
1546,55,Male,Single,86000,15,Electronics
1547,41,Male,Single,50000,24,Appliances
1548,26,Male,Divorced,77000,48,Appliances
1549,64,Male,Divorced,64000,49,Electronics
1550,62,Female,Divorced,26000,45,Electronics
1551,25,Male,Married,89000,30,Appliances
1552,25,Male,Single,94000,64,Appliances
1553,36,Female,Married,60000,30,Electronics
1554,29,Male,Married,40000,48,Appliances
1555,50,Male,Single,36000,41,Electronics
1556,36,Female,Divorced,24000,52,Appliances
1557,48,Male,Single,23000,21,Appliances
1558,73,Male,Married,47000,66,Electronics
1559,31,Female,Single,34000,23,Electronics
1560,31,Male,Married,45000,41,Appliances
1561,59,Male,Married,29000,26,Electronics
1562,40,Male,Married,68000,39,Appliances
1563,51,Male,Divorced,42000,52,Electronics
1564,38,Male,Single,21000,38,Appliances
1565,73,Female,Single,79000,62,Electronics
1566,49,Female,Single,30000,18,Appliances
1567,55,Male,Divorced,63000,47,Electronics
1568,41,Female,Divorced,21000,36,Electronics
1569,46,Female,Divorced,28000,1,Appliances
1570,21,Female,Divorced,70000,52,Appliances
1571,31,Female,Single,58000,66,Electronics
1572,40,Female,Single,65000,30,Appliances
1573,59,Female,Single,21000,45,Electronics
1574,31,Female,Married,26000,28,Appliances
1575,67,Female,Married,57000,16,Appliances
1576,62,Male,Married,91000,26,Electronics
1577,69,Female,Single,49000,26,Electronics
1578,62,Male,Married,75000,6,Appliances
1579,50,Male,Divorced,90000,19,Appliances
1580,27,Female,Single,27000,68,Electronics
1581,34,Female,Single,44000,12,Electronics
1582,68,Female,Married,15000,44,Electronics
1583,66,Male,Single,36000,67,Electronics
1584,49,Female,Single,56000,24,Electronics
1585,56,Male,Divorced,16000,41,Appliances
1586,52,Female,Divorced,50000,26,Electronics
1587,61,Female,Single,51000,2,Appliances
1588,24,Male,Divorced,34000,25,Electronics
1589,66,Male,Single,28000,52,Appliances
1590,37,Male,Single,55000,39,Appliances
1591,36,Female,Married,81000,46,Appliances
1592,64,Female,Divorced,94000,65,Electronics
1593,45,Female,Married,22000,56,Appliances
1594,59,Female,Divorced,82000,47,Electronics
1595,34,Male,Married,64000,46,Appliances
1596,60,Female,Divorced,48000,33,Appliances
1597,21,Male,Married,33000,6,Appliances
1598,72,Male,Single,74000,47,Electronics
1599,49,Female,Single,65000,20,Appliances
1600,34,Male,Married,17000,69,Appliances
1601,54,Male,Married,35000,65,Electronics
1602,54,Female,Married,75000,50,Appliances
1603,50,Female,Single,15000,59,Appliances
1604,69,Female,Divorced,30000,13,Appliances
1605,23,Female,Married,33000,67,Appliances
1606,68,Male,Married,54000,26,Electronics
1607,63,Female,Divorced,51000,47,Electronics
1608,29,Female,Single,53000,32,Electronics
1609,54,Male,Single,85000,62,Appliances
1610,74,Male,Married,82000,62,Electronics
1611,57,Male,Single,37000,9,Appliances
1612,34,Male,Single,15000,65,Electronics
1613,69,Male,Divorced,53000,49,Appliances
1614,42,Female,Single,75000,5,Appliances
1615,51,Female,Divorced,92000,31,Electronics
1616,43,Male,Single,78000,8,Appliances
1617,47,Male,Single,50000,17,Electronics
1618,26,Female,Single,21000,3,Electronics
1619,46,Male,Single,19000,37,Electronics
1620,73,Male,Divorced,61000,66,Appliances
1621,66,Male,Single,67000,26,Appliances
1622,71,Female,Single,94000,3,Appliances
1623,46,Male,Divorced,51000,31,Appliances
1624,62,Female,Single,29000,29,Appliances
1625,23,Male,Single,22000,32,Appliances
1626,54,Male,Divorced,41000,39,Electronics
1627,27,Female,Married,62000,20,Electronics
1628,29,Male,Single,82000,45,Appliances
1629,40,Male,Divorced,17000,33,Appliances
1630,65,Male,Divorced,58000,1,Appliances
1631,56,Male,Single,81000,35,Electronics
1632,31,Female,Married,20000,61,Appliances
1633,51,Male,Single,37000,68,Appliances
1634,75,Female,Single,60000,47,Electronics
1635,74,Male,Married,30000,29,Appliances
1636,61,Female,Married,87000,39,Electronics
1637,65,Female,Single,93000,2,Electronics
1638,28,Male,Single,45000,67,Appliances
1639,62,Female,Single,71000,69,Appliances
1640,61,Male,Married,63000,20,Electronics
1641,24,Male,Divorced,59000,46,Appliances
1642,69,Male,Single,78000,16,Appliances
1643,43,Female,Divorced,69000,13,Appliances
